Last name of the artist;First name of the artist;Sex of the artist (F/M/FM/empty);Membership in movement, if applicable;Biographical elements;Detailed address of the artist, as it appears in the catalogue;Country of the artist;State of the artist;City of the artist;Street number of the artist's address;Street name of the artist's address;Floor level of the artist's address;Local address of the artist;Additional information on the artist's address;Address as it appears in the catalogue;Country of the artist 2;State of the artist 2;City of the artist 2;Street number of the artist's address 2;Street name of the artist's address 2;Floor level of the artist's address 2;Local address of the artist 2;Additional information on the artist's address 2;Artist's nationality;Student of;Birth year;Month of birth;Day of birth;Detailed birth address of the artist, as it appears in the catalogue;Country of birth;State of birth;City of birth;Street number of the birth address;Street name of the birth address;Floor level of the birth address;Local address of birth;Additional information on the birth address;Year of death;Month of death;Day of death;Detailed death address of the artist, as it appears in the catalogue;Country of death;State of death;City of death;Street number of the death address;Street name of the death address;Floor level of the death address;Local address of death;Additional information on the death address;Notes;Number;Title of artwork;Subtitle;Translated title;Start year of creation;Start month of creation;Start day of creation;End year of creation;End month of creation;End day of creation;Country of creation;State of creation;City of creation;Dimensions;Categories;Medium;Room;Chapter of the catalogue ?;Price;Location/Owner;Owner's country;Owner's state;Owner's city;Notes
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;Portrait;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;Triel (Seine;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;Carrières sous Poissy;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;Petit-Andelys (Eure;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;Vernouillet (S-et-O.);Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;Étude;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;Cadre de dessins;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ALBERT, Adolphe; ; ; ;né à Paris. -16, avenue Trudaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;Portrait;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;Le matin;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;Le fumier;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;Les meules de blé;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13;Les cochons;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14;La grande jatte;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;Un çoin de parc;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ANQUETIN, Louis; ; ; ;né à Étrépagny. -62, rue de Rome. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;Tête d'homme;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18;Automne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;19;Vue prise à Venteuil;appartient à Mme de L.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;Soleil d'hiver;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;21;Vieille maison à Jouarre;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;22;Chemin descendant à Creil;appartient à M. G. Popelin; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;Les algues vertes (Tréport;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24;Derrière l'église (Tréport;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25;La plage (Tréport;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;26;Étude de peupliers;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;Étude de feuilles;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
AUBIN, Paul; ; ; ;né à La Mothe-Saint-Heraye (Deux -6, rue Boissonnade. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;Les montagnes de Château-Neuf Martigues, Provence;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
AUBIN, Paul; ; ; ;né à La Mothe-Saint-Heraye (Deux -6, rue Boissonnade. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;29;Une route en Provence;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
